zip,city,median_sale_price,median_ppsf,homes_sold,periods
92701,,888977,605.0,44,4
92703,,829630,672.8,92,4
92704,,954289,659.6,142,4
92705,,1752550,703.3,229,4
92706,,1178676,680.9,102,4
92707,,874236,699.2,70,4
92708,,1513430,731.4,258,4
92711,,1020000,805.1,3,1
92780,,1296153,701.0,177,4
92782,,2011273,770.2,77,4
92801,,875186,650.0,86,4
92802,,1017732,631.1,82,4
92804,,964366,650.7,205,4
92805,,893526,631.1,152,4
92806,,1018649,577.9,87,4
92807,,1188613,587.8,238,4
92808,,1382211,606.2,109,4
92816,,1005000,634.5,2,2
92821,,1180688,609.9,189,4
92823,,1523182,611.1,33,4
92825,,790000,531.3,1,1
92831,,1141360,670.4,125,4
92832,,983556,647.2,63,4
92833,,1136982,655.8,219,4
92835,,1429769,629.0,169,4
92840,,1044490,657.7,144,4
92841,,1047824,675.8,88,4
92843,,1020676,688.4,74,4
92844,,996486,730.0,37,4
92845,,1127136,729.3,118,4
92859,,974500,631.8,2,2
92860,,924063,469.8,178,4
92861,,2581415,709.2,53,4
92862,,1271583,618.1,24,4
92865,,1156239,633.3,115,4
92866,,1202407,813.0,54,4
92867,,1289741,653.6,243,4
92868,,962274,637.5,62,4
92869,,1351737,636.6,190,4
92870,,1213284,614.4,261,4
92878,,787083,454.4,84,4
92879,,745758,411.5,178,4
92880,,957365,332.1,296,4
92881,,893953,392.3,169,4
92882,,814739,428.9,348,4
92883,,755625,356.8,459,4
92886,,1486793,659.1,348,4
92887,,1599052,616.6,155,4
93001,,1137788,797.7,137,4
93003,,998554,590.6,242,4
93004,,893926,512.4,164,4
93006,,875000,606.4,1,1
93010,,972888,508.8,301,4
93012,,923525,526.6,295,4
93013,,1844750,1251.1,84,4
93014,,3862333,1807.0,3,2
93015,,777929,387.6,99,4
93021,,1065224,452.1,245,4
93022,,897966,691.1,59,4
93023,,1273411,749.6,180,4
93030,,808075,451.1,133,4
93031,,835000,561.2,1,1
93033,,708308,500.8,120,4
93035,,1281101,705.5,188,4
93036,,838017,475.6,116,4
93040,,315000,439.9,1,1
93041,,684664,487.5,76,4
93044,,702000,615.3,2,2
